date,AAPL,COST,F,GE,GS,JNJ,KO,TSLA,WMT
2015-08-24,99.202644353779,129.99052877843,11.560617263775,22.183685339534,173.87447694172,87.363129877918,35.666292742422,218.87,60.396340398045
2015-08-25,99.799091594851,129.73635462273,11.306441448271,21.626072804816,172.67307077095,85.39600057987,35.303868193971,220.03,59.593574341151
2015-08-26,105.52306108578,135.0642359632,11.578146630361,22.313794930968,178.66072410595,89.518501214058,35.991545542314,224.84,61.227439374593
2015-08-27,108.63035880943,137.06830142155,11.884910545624,23.243149155498,183.32101739744,90.563244525461,36.493364147861,242.99,62.407977693554
2015-08-28,108.98630313072,136.81412726586,12.042674844902,23.382552289178,182.53622788265,89.574973825485,36.660637016377,248.48,61.331326746662
2015-08-31,108.47643694077,136.91188655651,12.156615727715,23.066571852837,183.36262358811,88.454933698845,36.53982883356,249.06,61.132996309076
2015-09-01,103.62789807786,135.20109897012,12.025145478316,22.192978881779,177.06257162178,86.676046438887,36.010131416593,238.63,60.273564412873
2015-09-02,108.07239203553,137.27359593191,12.156615727715,22.834233296705,179.38620189948,87.861971278859,36.14952547369,247.69,60.859111419078
2015-09-03,106.1772290276,137.3322515063,12.130321677835,22.778472043233,179.92092853243,87.193712043637,36.391141839324,245.57,61.255772294248
2015-09-04,105.11901618054,135.37706569329,11.884910545624,22.304501388723,175.37089100119,85.941902490333,35.796393862379,241.93,60.339674558735
2015-09-08,108.04353168515,138.26096476749,11.98132206185,23.196681444271,180.71815733064,88.417285291227,36.14952547369,248.17,62.691306890105
2015-09-09,105.96558645819,136.5501771811,11.858616495745,22.815646212214,180.5237112823,86.798403763646,35.591949245304,248.91,61.501324264592
2015-09-10,108.29365472173,136.87278284025,12.033910161609,22.936462261403,180.74732423789,87.269008858873,35.703464490981,248.48,60.556893609424
2015-09-11,109.87135387553,137.88947946301,12.016380795023,23.187387902026,180.12509688319,87.466662998868,35.74063623954,250.24,61.057441856663
2015-09-14,110.9295667226,137.98723875367,12.077733578075,23.020104141611,178.83203066171,87.833734973145,35.712516148085,253.19,60.708002514251
2015-09-15,111.86271805137,139.238557674,12.542261792617,23.512661880612,182.24455881014,88.850241978835,36.087450700821,253.57,60.745779740457
2015-09-16,111.98777956966,140.39211730368,12.831496341293,24.098155042066,183.40151279778,89.047896118831,36.696719349017,262.25,61.09521908287
2015-09-17,109.59237048858,140.13794314798,12.796437608121,23.77288106348,181.27232856842,89.264374462635,36.91230671684,262.07,60.887444338733
2015-09-18,109.14022499938,138.63245007196,12.515967742737,23.257098634095,175.91533993655,87.899619686477,36.537372164104,260.62,59.820237698392
2015-09-21,110.83336555468,140.00108014107,12.55102647591,23.529056642316,178.25841481909,87.654905036959,36.73421280429,264.2,60.179121347356
2015-09-22,109.09212441542,139.45362811343,12.200439144181,23.547812367021,174.72921904165,87.758438157909,36.359278251554,260.94,60.056345362184
2015-09-23,109.97717516024,142.17133639352,11.990086745143,23.575945954079,174.42782766672,87.523135610296,36.331158160099,261.06,60.179121347356
2015-09-24,110.63134310206,141.62388436588,11.963792695263,23.360255119972,171.99725206242,87.043118413164,36.696719349017,263.12,60.283008719425
2015-09-25,110.35235971511,142.2886475423,11.858616495745,23.369632982324,174.83616436824,85.650127331293,37.137267448481,256.91,60.235787186666
2015-09-28,108.16859320344,140.33346172929,11.499264480722,22.797583378825,168.21527642214,85.99837510176,37.052907174116,248.43,60.122455508046
2015-09-29,104.91699372792,140.49965252339,11.525558530602,23.041407799988,167.08748934175,87.570196119818,37.174760903755,246.65,60.235787186666
2015-09-30,105.77318412236,141.31105463579,11.893675228918,23.650968852898,168.93472680101,87.861971278859,37.605935639401,248.4,61.236883681145
2015-10-01,105.41723980108,141.32083056486,11.98132206185,23.622835265841,171.13196714729,87.692553444577,37.305987997212,239.88,60.698558207699
2015-10-02,106.1868491444,142.59170134332,12.261791927233,23.88541541171,172.0944750866,88.407873189322,37.859016462498,247.57,61.369103972869
2015-10-05,106.57165381606,144.7521816667,12.437085593098,25.151426829291,175.68200467854,89.189077647399,38.440165019238,246.15,62.209647255969
2015-10-06,107.081520006,145.08456325492,12.542261792617,25.592186359857,175.31255718668,87.927855992191,38.393298200146,241.46,62.030205431487
2015-10-07,106.57165381606,144.64464644699,12.927907857519,26.042323752775,177.16951694837,89.396143889299,38.918206573976,231.96,62.672418277002
2015-10-08,105.34027886675,148.26174020107,13.138260256557,26.286148173939,176.04172986797,89.490264908344,39.349381309622,226.72,63.163522217689
2015-10-09,107.86074946611,150.5199798151,13.12073088997,26.323659623349,174.21393701354,89.763215863576,39.386874764896,220.69,62.984080393207
2015-10-12,107.36050339296,150.18759822689,13.129495573263,26.342415348054,175.22505646493,90.346766181657,39.368128037259,215.58,63.210743750448
2015-10-13,107.543285612,148.8678478031,13.09443684009,26.136102376299,175.9445068438,89.838512678812,39.040060303615,219.25,63.021857619414
2015-10-14,106.02330715894,146.48252111122,13.155789623143,25.882900092783,174.52505069089,88.972599303594,39.06818039507,216.88,56.694172229783
2015-10-15,107.61062642954,148.36927542078,13.339847972301,26.286148173939,179.82370550826,91.438570002583,39.293141126712,221.31,56.033070771165
2015-10-16,106.82177685263,148.65277736367,13.39243607206,27.177045097422,180.03759616144,92.464489110178,39.386874764896,227.01,55.617521282891
2015-10-19,107.48556491125,149.78678513522,13.462553538406,27.186422959775,180.5820450968,92.182126053042,39.358754673441,228.1,55.579744056684
